BestellungID;KundeID;VereinsPartnerID;Kaufdatum;Kreditkarte;GueltigBis;KKFirma;ProduktID;Menge;Preis;Rabatt
RS00005150;;;26.01.2025;3534 4589 4137 9421 ;10/30;Diners;27;25;2,0;2,0
RS00005151;49;Druff1848;26.01.2025;6011 7303 8909 0032 ;12/33;Maestro;110;32;0,5;0,5
RS00005152;120;GlückAuf;26.01.2025;3535 5062 2316 9313 ;12/33;JCB;56;32;7,0;0,5
RS00005153;;;26.01.2025;;;;115;22;4,5;1,0
RS00005154;159;GlückAuf;26.01.2025;6011 2074 2765 8625 ;06/32;Discover;54;29;5,0;0,0
RS00005155;;;26.01.2025;;;;27;28;2,0;2,5
RS00005156;332;Druff1848;26.01.2025;;;;97;25;9,0;0,0
RS00005157;;;26.01.2025;;;;117;20;3,5;2,5
RS00005158;;;26.01.2025;6556 7475 4824 1166 ;04/27;VISA;28;48;2,0;1,0
RS00005159;;;26.01.2025;;;;109;25;3,0;2,0
RS00005160;357;Morgenstern;26.01.2025;;;;103;22;5,0;0,5
RS00005161;;;26.01.2025;;;;123;3;3,0;2,5
RS00005162;;;26.01.2025;2131 1594 1620 956;10/34;Diners;28;47;2,0;2,5
RS00005163;;;26.01.2025;5856 7198 3948 ;12/28;VISA;12;28;4,0;2,5
RS00005164;113;;26.01.2025;;;;118;40;6,0;0,5
RS00005165;;;26.01.2025;3045 6205 6333 06;04/31;VISA;69;21;2,0;3,0
RS00005166;;;26.01.2025;;;;13;11;4,5;0,5
RS00005167;125;WochenendGLück;26.01.2025;3007 5494 6078 45;09/28;Mastercard;105;10;5,0;0,5
RS00005168;;;26.01.2025;2131 9274 5079 598;10/32;VISA;107;36;8,0;1,0
RS00005169;254;;26.01.2025;;;;27;27;2,0;1,5
RS00005170;387;;26.01.2025;;;;89;11;0,8;0,5
RS00005171;;;26.01.2025;;;;65;10;4,5;1,0
RS00005172;;;26.01.2025;;;;122;3;2,0;0,0
RS00005173;;;26.01.2025;3042 4511 1027 88;07/34;Diners;124;28;3,0;0,5
RS00005174;;;26.01.2025;3553 1625 2098 9354 ;01/28;JCB;9;25;3,0;0,5
RS00005175;400;VolleRose;26.01.2025;3024 6412 9994 38;12/28;Mastercard;115;8;4,5;2,5
RS00005176;;;26.01.2025;;;;45;3;2,0;2,0
RS00005177;;;26.01.2025;;;;73;44;3,0;1,0
RS00005178;;;26.01.2025;4019 4250 7771 1307 ;04/31;VISA;16;43;3,0;1,5
RS00005179;;;26.01.2025;3517 7758 0557 2663 ;02/30;Mastercard;28;12;2,0;0,5
RS00005180;402;;26.01.2025;;;;21;2;4,0;0,0
RS00005181;;;26.01.2025;6011 3746 5238 0281 ;03/28;Discover;28;45;2,0;0,0
RS00005182;;;26.01.2025;;;;64;29;4,5;2,5
RS00005183;111;;26.01.2025;4513 1215 2456 2804 ;08/31;VISA;18;26;6,0;0,0
RS00005184;266;Blaetterglueck;26.01.2025;;;;82;34;5,0;1,0
RS00005185;237;GlückAuf;26.01.2025;3510 3352 4517 7545 ;01/33;JCB;66;30;3,0;1,5
RS00005186;150;;26.01.2025;4480 9543 8860 7318 ;08/27;VISA;54;19;5,0;1,5
RS00005187;292;Blaetterglueck;26.01.2025;;;;61;4;8,0;2,0
RS00005188;;;26.01.2025;3511 9166 6257 4378 ;10/26;JCB;21;18;4,0;1,0
RS00005189;396;Abendröte;26.01.2025;3026 5471 3462 32;09/28;VISA;40;47;1,0;2,0
RS00005190;;;26.01.2025;3719 3911 8913 128;05/32;American;2;48;4,0;2,5
RS00005191;;;26.01.2025;;;;4;22;5,0;0,5
RS00005192;;;26.01.2025;3586 7083 9952 4275 ;07/31;VISA;73;36;3,0;1,0
RS00005193;227;Blaetterglueck;26.01.2025;2131 6563 6475 273;03/26;Diners;59;16;3,0;2,5
RS00005194;;;26.01.2025;4300 0354 3015 6;07/31;VISA;114;13;4,5;1,0
RS00005195;;;26.01.2025;;;;61;24;8,0;2,5
RS00005196;358;Blaetterglueck;26.01.2025;;;;69;18;2,0;2,5
RS00005197;;;26.01.2025;;;;41;32;1,2;0,5
RS00005198;;;26.01.2025;6761 3906 8990 ;11/33;JCB;125;22;7,0;1,5
RS00005199;183;;26.01.2025;3547 6448 5607 0759 ;12/26;JCB;73;1;3,0;1,0
RS00005200;;;26.01.2025;;;;113;18;4,5;2,5
RS00005201;;;26.01.2025;3593 9988 2270 1308 ;11/32;VISA;3;46;5,0;2,0
RS00005202;402;;26.01.2025;4502 9971 3336 9;02/34;VISA;98;16;4,5;0,0
RS00005203;;;26.01.2025;;;;123;45;3,0;2,0
RS00005204;;;26.01.2025;3519 0395 9661 5639 ;07/26;VISA;44;47;4,0;0,5
RS00005205;;;26.01.2025;6011 9443 2212 7559 ;05/28;VISA;126;41;4,0;1,5
RS00005206;;;26.01.2025;;;;98;30;4,5;1,5
RS00005207;;;26.01.2025;;;;46;8;8,0;0,0
RS00005208;44;Morgenstern;26.01.2025;2131 5308 4633 502;05/30;VISA;69;22;2,0;2,0
RS00005209;;;26.01.2025;;;;90;35;1,0;2,0
RS00005210;;;26.01.2025;3695 6276 4754 57;06/32;Maestro;114;37;4,5;0,5
RS00005211;;;26.01.2025;;;;10;43;0,5;1,5
RS00005212;;;26.01.2025;;;;12;20;4,0;0,0
RS00005213;133;GlückAuf;26.01.2025;3046 9039 1428 57;09/29;VISA;114;2;4,5;2,0
RS00005214;;;26.01.2025;;;;13;13;4,5;0,5
RS00005215;;;26.01.2025;6539 5069 0838 4012 ;10/31;Diners;72;8;2,0;0,5
RS00005216;119;;26.01.2025;2243 0656 1197 7782 ;12/30;Diners;117;27;3,5;3,0
RS00005217;;;26.01.2025;;;;26;1;4,0;2,5
RS00005218;31;Morgenstern;26.01.2025;3510 6625 3110 7559 ;08/31;Diners;92;20;2,4;2,5
RS00005219;110;Blaetterglueck;26.01.2025;3023 9443 2465 15;07/30;VISA;52;42;4,0;3,0
RS00005220;;;26.01.2025;;;;75;49;7,0;0,5
RS00005221;401;;26.01.2025;;;;61;17;8,0;2,0
RS00005222;;;26.01.2025;;;;96;7;8,0;0,5
RS00005223;;;26.01.2025;4268 1298 8932 4;09/30;JCB;34;16;0,75;0,5
RS00005224;;;26.01.2025;;;;23;2;3,0;1,5
RS00005225;404;GlückAuf;26.01.2025;;;;83;15;0,8;1,0
RS00005226;;;26.01.2025;;;;68;16;6,0;2,5
RS00005227;314;Morgenstern;26.01.2025;;;;21;21;4,0;0,5
RS00005228;;;26.01.2025;;;;11;38;8,0;0,5
RS00005229;;;26.01.2025;2131 8265 7277 926;12/33;JCB;53;44;5,0;2,0
RS00005230;;;26.01.2025;;;;120;8;8,0;1,5
RS00005231;;;26.01.2025;3505 2505 7567 0950 ;03/27;Diners;103;24;5,0;3,0
RS00005232;;;26.01.2025;5766 1332 9068 ;10/32;JCB;114;49;4,5;1,5
RS00005233;;;26.01.2025;4278 2398 5384 6781 ;08/26;Discover;3;7;5,0;2,0
RS00005234;351;VolleRose;26.01.2025;;;;113;32;4,5;3,0
RS00005235;;;26.01.2025;2131 8440 6839 733;08/28;Diners;45;46;2,0;2,0
RS00005236;328;Blaetterglueck;26.01.2025;;;;24;21;3,0;2,5
RS00005237;;;26.01.2025;;;;41;3;1,2;2,0
RS00005238;365;Druff1848;26.01.2025;2265 9188 5071 1812 ;07/33;JCB;105;22;5,0;0,5
RS00005239;;;26.01.2025;;;;47;35;9,0;1,5
RS00005240;2;;26.01.2025;;;;124;24;3,0;2,0
RS00005241;;;26.01.2025;;;;124;33;3,0;0,0
RS00005242;357;Morgenstern;26.01.2025;;;;37;39;0,5;0,5
RS00005243;;;26.01.2025;;;;40;38;1,0;2,0
RS00005244;;;26.01.2025;4556 1008 2072 6831 248;11/27;JCB;8;33;8,0;1,0
RS00005245;244;Druff1848;26.01.2025;2440 5166 3762 1334 ;07/28;Discover;47;24;9,0;3,0
RS00005246;;;26.01.2025;5038 6760 5647 ;11/33;American;98;39;4,5;1,0
RS00005247;;;26.01.2025;;;;16;28;3,0;3,0
RS00005248;;;26.01.2025;;;;82;8;5,0;2,5
RS00005249;323;;26.01.2025;;;;105;6;5,0;2,0
RS00005250;;;26.01.2025;;;;53;24;5,0;2,0
RS00005251;;;26.01.2025;4487 9876 7258 1906 045;04/27;JCB;51;24;2,0;1,5
RS00005252;234;;26.01.2025;6527 5962 3149 4434 ;01/35;VISA;23;1;3,0;3,0
RS00005253;;;26.01.2025;4924 5278 6826 6799 ;10/27;JCB;62;19;4,0;2,5
RS00005254;95;;26.01.2025;4333 5792 9696 2734 ;04/26;VISA;41;47;1,2;0,5
RS00005255;373;WochenendGLück;26.01.2025;3475 6813 0027 202;04/31;Maestro;5;31;5,0;0,0
RS00005256;;;26.01.2025;;;;32;12;5,0;1,0
RS00005257;;;26.01.2025;;;;43;32;2,3;0,0
RS00005258;;;26.01.2025;;;;110;34;0,5;0,0
RS00005259;96;Morgenstern;26.01.2025;;;;32;14;5,0;1,5
RS00005260;;;26.01.2025;5870 2064 1813 ;10/25;Mastercard;66;17;3,0;0,0
RS00005261;;;26.01.2025;;;;14;14;4,5;2,5
RS00005262;331;;26.01.2025;2367 5961 8447 3429 ;05/32;VISA;101;30;2,0;2,0
RS00005263;;;26.01.2025;4537 7481 1781 7005 ;06/34;Discover;10;5;0,5;0,5
RS00005264;228;;26.01.2025;;;;3;30;5,0;3,0
RS00005265;77;VolleRose;26.01.2025;;;;118;19;6,0;2,5
RS00005266;;;26.01.2025;6761 2232 9904 ;07/27;VISA;7;20;8,0;1,5
RS00005267;133;GlückAuf;26.01.2025;;;;27;1;2,0;1,5
RS00005268;;;26.01.2025;3780 2937 4516 204;04/32;JCB;117;41;3,5;0,0
RS00005269;268;WochenendGLück;26.01.2025;;;;41;39;1,2;1,0
RS00005270;286;;26.01.2025;2288 7224 1744 0722 ;12/25;Mastercard;83;48;0,8;1,0
RS00005271;285;VolleRose;26.01.2025;;;;80;31;4,0;1,5
RS00005272;;;26.01.2025;;;;29;13;1,5;2,5
RS00005273;;;26.01.2025;;;;112;33;4,0;0,5
RS00005274;;;26.01.2025;3524 1127 9524 6671 ;06/32;VISA;19;39;2,0;0,0
RS00005275;212;;26.01.2025;;;;117;6;3,5;1,5
RS00005276;;;26.01.2025;3045 4110 6897 11;04/30;VISA;32;23;5,0;0,0
RS00005277;237;GlückAuf;26.01.2025;4917 8198 3893 0;07/27;Diners;56;19;7,0;0,5
RS00005278;219;;26.01.2025;;;;97;7;9,0;1,0
RS00005279;;;26.01.2025;5038 8511 0026 ;11/34;Maestro;67;26;3,5;3,0
RS00005280;207;VolleRose;26.01.2025;3000 3069 3792 51;04/33;Mastercard;4;36;5,0;3,0
RS00005281;;;26.01.2025;5432 8460 6861 4026 ;11/34;JCB;117;38;3,5;2,5
RS00005282;212;;26.01.2025;;;;92;4;2,4;0,5
RS00005283;;;26.01.2025;3498 7878 9975 348;03/32;Discover;19;24;2,0;2,0
RS00005284;;;26.01.2025;;;;52;41;4,0;1,5
RS00005285;;;26.01.2025;;;;85;48;1,0;1,5
RS00005286;43;;26.01.2025;;;;110;27;0,5;0,0
RS00005287;;;26.01.2025;;;;55;28;5,0;1,0
RS00005288;358;Blaetterglueck;26.01.2025;4327 1165 1276 0994 ;10/29;JCB;103;2;5,0;2,5
RS00005289;;;26.01.2025;3042 1094 9736 27;05/34;VISA;86;13;0,5;3,0
RS00005290;325;GlückAuf;26.01.2025;;;;79;21;1,5;0,0
RS00005291;;;26.01.2025;;;;39;15;0,8;2,0
RS00005292;359;;26.01.2025;;;;79;11;1,5;3,0
RS00005293;267;;26.01.2025;;;;77;18;2,0;2,0
RS00005294;;;26.01.2025;;;;55;1;5,0;0,5
RS00005295;;;26.01.2025;;;;100;4;5,6;2,5
RS00005296;;;26.01.2025;;;;112;24;4,0;2,5
RS00005297;18;Morgenstern;26.01.2025;4161 6691 7137 0462 ;02/34;Discover;85;47;1,0;0,0
RS00005298;125;WochenendGLück;26.01.2025;3426 8764 1975 603;08/28;JCB;51;46;2,0;1,0
RS00005299;;;26.01.2025;2227 4576 8786 4186 ;06/25;American;120;33;8,0;2,0
RS00005300;;;26.01.2025;;;;26;14;4,0;2,5
RS00005301;210;;26.01.2025;2720 1453 1820 3005 ;11/26;JCB;74;17;3,0;2,0
RS00005302;396;Abendröte;26.01.2025;5248 7476 6328 2561 ;05/35;VISA;117;21;3,5;3,0
RS00005303;153;Druff1848;26.01.2025;4010 7092 8866 0430 ;09/27;Maestro;71;19;4,0;0,5
RS00005304;;;26.01.2025;;;;31;13;2,0;3,0
RS00005305;;;26.01.2025;;;;83;24;0,8;2,5
RS00005306;329;;26.01.2025;;;;86;46;0,5;1,0
RS00005307;387;;26.01.2025;;;;86;16;0,5;0,5
RS00005308;;;26.01.2025;4509 5249 2186 9;01/27;JCB;73;41;3,0;0,5
RS00005309;;;26.01.2025;;;;114;33;4,5;2,0
RS00005310;;;26.01.2025;;;;99;17;3,8;0,0
RS00005311;;;26.01.2025;4980 4556 9629 1311 ;06/34;Mastercard;88;31;0,5;1,0
RS00005312;;;26.01.2025;5481 5403 8708 1989 ;05/27;VISA;75;41;7,0;2,5
RS00005313;;;26.01.2025;;;;112;44;4,0;2,5
RS00005314;;;26.01.2025;6515 6583 1783 4448 ;03/34;JCB;104;22;5,0;2,0
RS00005315;37;;26.01.2025;;;;97;31;9,0;3,0
RS00005316;;;26.01.2025;;;;49;4;3,8;0,0
RS00005317;61;;26.01.2025;4594 3795 6608 4;07/26;Discover;15;30;4,5;0,0
RS00005318;;;26.01.2025;3484 8926 0792 466;04/34;VISA;47;19;9,0;2,0
RS00005319;;;26.01.2025;;;;58;2;8,0;0,0
RS00005320;;;26.01.2025;4386 0876 7697 0604 ;05/26;Maestro;98;17;4,5;3,0
RS00005321;;;26.01.2025;;;;126;11;4,0;2,0
RS00005322;;;26.01.2025;4994 8665 0751 8763 ;12/27;Diners;37;31;0,5;2,0
RS00005323;;;26.01.2025;1800 3118 3812 400;11/25;Discover;66;23;3,0;0,5
RS00005324;;;26.01.2025;0604 4946 8648 ;02/26;VISA;99;42;3,8;0,5
RS00005325;92;;26.01.2025;6011 5550 7205 6192 ;01/26;JCB;49;42;3,8;3,0
RS00005326;150;;26.01.2025;;;;59;27;3,0;1,5
RS00005327;;;26.01.2025;;;;51;24;2,0;1,5
RS00005328;;;26.01.2025;;;;24;5;3,0;0,0
RS00005329;;;26.01.2025;5203 8178 7270 2858 ;08/34;VISA;89;43;0,8;2,5
RS00005330;;;26.01.2025;3528 8362 2879 2473 ;07/34;Mastercard;60;23;0,5;2,5
RS00005331;;;26.01.2025;3535 2804 2197 9242 ;05/33;JCB;84;46;0,75;1,0
RS00005332;;;26.01.2025;;;;85;44;1,0;0,5
RS00005333;;;26.01.2025;4976 6458 1375 7749 308;12/32;VISA;117;35;3,5;3,0
RS00005334;;;26.01.2025;3747 3859 8282 039;04/32;American;65;3;4,5;1,5
RS00005335;25;VolleRose;26.01.2025;;;;94;24;4,0;0,5
RS00005336;;;26.01.2025;3037 1434 3836 33;09/32;VISA;98;28;4,5;3,0
RS00005337;;;26.01.2025;4801 4692 4696 8549 ;02/33;VISA;56;46;7,0;1,5
RS00005338;;;26.01.2025;4413 9286 9325 3515 ;05/27;VISA;67;23;3,5;0,0
RS00005339;139;;26.01.2025;;;;39;12;0,8;1,0
RS00005340;;;26.01.2025;3428 8883 6317 649;12/27;VISA;16;3;3,0;0,0
RS00005341;;;26.01.2025;3540 1541 9452 8788 ;07/28;JCB;96;36;8,0;0,0
RS00005342;337;;26.01.2025;;;;76;44;4,0;0,5
RS00005343;6;;26.01.2025;4510 3446 0277 2800 969;09/27;Diners;38;15;0,5;1,5
RS00005344;193;;26.01.2025;;;;77;17;2,0;2,0
RS00005345;;;26.01.2025;6577 6508 3818 8532 ;05/32;Discover;7;10;8,0;2,5
RS00005346;;;26.01.2025;4388 3680 5380 3511 ;11/29;Discover;41;39;1,2;2,0
RS00005347;86;WochenendGLück;26.01.2025;;;;12;14;4,0;2,0
RS00005348;;;26.01.2025;;;;119;34;2,0;3,0
RS00005349;;;26.01.2025;3596 0810 5653 6315 ;11/30;VISA;19;27;2,0;1,5
RS00005350;20;;26.01.2025;3015 1216 1092 36;11/29;JCB;33;33;0,8;1,0
RS00005351;;;26.01.2025;3466 1738 9496 021;04/30;JCB;111;45;8,0;2,0
RS00005352;372;;26.01.2025;;;;16;23;3,0;2,5
RS00005353;;;26.01.2025;4199 7420 8702 4964 ;01/26;Diners;44;12;4,0;1,0
RS00005354;;;26.01.2025;;;;44;26;4,0;3,0
RS00005355;;;26.01.2025;;;;51;45;2,0;2,0
RS00005356;;;26.01.2025;;;;100;21;5,6;2,0
RS00005357;13;;26.01.2025;3027 7999 9757 23;08/34;JCB;46;19;8,0;0,0
RS00005358;;;26.01.2025;;;;119;13;2,0;2,5
RS00005359;377;VolleRose;26.01.2025;;;;40;44;1,0;0,5
RS00005360;;;26.01.2025;;;;118;3;6,0;1,5
RS00005361;;;26.01.2025;;;;70;6;8,0;3,0
RS00005362;;;26.01.2025;;;;122;8;2,0;1,0
RS00005363;237;GlückAuf;26.01.2025;3467 4596 0194 671;01/28;JCB;63;21;4,5;2,5
RS00005364;62;Druff1848;26.01.2025;4649 9867 8009 7442 284;05/28;VISA;56;3;7,0;1,5
RS00005365;;;26.01.2025;4955 1964 4746 6627 ;06/32;American;89;3;0,8;2,0
RS00005366;;;26.01.2025;;;;73;40;3,0;3,0
RS00005367;;;26.01.2025;;;;89;14;0,8;0,0
RS00005368;;;26.01.2025;;;;66;19;3,0;3,0
RS00005369;;;26.01.2025;;;;20;10;8,0;1,0
RS00005370;;;26.01.2025;;;;34;13;0,75;2,0
RS00005371;;;26.01.2025;;;;61;30;8,0;1,5
RS00005372;;;26.01.2025;;;;35;8;1,0;1,0
RS00005373;84;Blaetterglueck;26.01.2025;;;;104;44;5,0;1,0
RS00005374;80;;26.01.2025;3439 8902 3763 469;07/32;JCB;92;18;2,4;0,5
RS00005375;;;26.01.2025;;;;37;47;0,5;1,0
RS00005376;;;26.01.2025;2463 8929 8637 9341 ;04/31;JCB;88;42;0,5;0,5
RS00005377;;;26.01.2025;5576 5835 3099 2757 ;01/30;VISA;97;12;9,0;0,0
RS00005378;;;26.01.2025;;;;82;30;5,0;2,0
RS00005379;330;WochenendGLück;26.01.2025;;;;53;46;5,0;3,0
RS00005380;;;26.01.2025;;;;106;26;7,0;1,5
RS00005381;398;Druff1848;26.01.2025;1800 2261 4791 255;01/28;VISA;66;32;3,0;2,0
RS00005382;168;VolleRose;26.01.2025;3565 6315 5319 3403 ;01/27;JCB;69;4;2,0;3,0
RS00005383;309;;26.01.2025;;;;74;14;3,0;0,5
RS00005384;;;26.01.2025;;;;15;37;4,5;2,5
RS00005385;;;26.01.2025;;;;25;36;7,0;1,0
RS00005386;;;26.01.2025;6011 1170 5662 4725 ;05/32;JCB;115;48;4,5;0,5
RS00005387;194;VolleRose;26.01.2025;6762 4274 9874 ;01/31;VISA;118;17;6,0;0,5
RS00005388;;;26.01.2025;6011 1641 1268 9508 ;08/32;Discover;44;13;4,0;2,0
RS00005389;;;26.01.2025;;;;31;19;2,0;2,0
RS00005390;376;;26.01.2025;;;;112;2;4,0;1,0
RS00005391;;;26.01.2025;;;;117;6;3,5;3,0
RS00005392;;;26.01.2025;;;;104;24;5,0;0,5
RS00005393;;;26.01.2025;;;;32;14;5,0;1,5
RS00005394;236;;26.01.2025;3502 7967 0025 7363 ;09/32;Diners;60;46;0,5;1,5
RS00005395;;;26.01.2025;6011 1039 7926 3239 ;10/25;American;115;40;4,5;0,0
RS00005396;;;26.01.2025;3577 0264 4227 5667 ;05/31;VISA;42;47;2,4;3,0
RS00005397;;;26.01.2025;;;;79;2;1,5;0,5
RS00005398;;;26.01.2025;;;;27;10;2,0;1,5
RS00005399;;;26.01.2025;5622 4637 7724 ;12/34;VISA;112;49;4,0;2,0
RS00005400;;;26.01.2025;;;;100;21;5,6;1,5
RS00005401;;;26.01.2025;;;;66;14;3,0;0,5
RS00005402;;;26.01.2025;;;;11;16;8,0;1,0
RS00005403;;;26.01.2025;2131 9912 5829 104;09/30;JCB;109;33;3,0;1,0
RS00005404;;;26.01.2025;;;;82;25;5,0;0,5
RS00005405;172;GlückAuf;26.01.2025;;;;124;49;3,0;0,5
RS00005406;83;Morgenstern;26.01.2025;4970 1830 2034 8183 ;06/33;JCB;99;13;3,8;2,5
RS00005407;;;26.01.2025;4862 5205 1149 3;11/28;VISA;104;41;5,0;3,0
RS00005408;;;26.01.2025;;;;38;35;0,5;2,0
RS00005409;;;26.01.2025;4325 5497 6114 5735 ;11/26;JCB;119;33;2,0;0,0
RS00005410;244;Druff1848;26.01.2025;;;;62;47;4,0;2,5
RS00005411;;;26.01.2025;6761 5614 3445 ;05/32;American;121;17;4,0;3,0
RS00005412;;;26.01.2025;;;;57;34;8,0;0,0
RS00005413;212;;26.01.2025;4895 8774 6375 9614 ;12/34;VISA;33;15;0,8;3,0
RS00005414;;;26.01.2025;3056 7678 8552 32;05/28;VISA;45;9;2,0;2,5
RS00005415;;;26.01.2025;;;;73;28;3,0;2,5
RS00005416;;;26.01.2025;4835 8179 4153 5528 ;06/26;JCB;64;16;4,5;2,5
RS00005417;381;GlückAuf;26.01.2025;;;;29;37;1,5;3,0
RS00005418;;;26.01.2025;3595 9371 4662 4646 ;11/33;VISA;104;3;5,0;0,5
RS00005419;;;26.01.2025;;;;107;38;8,0;3,0
RS00005420;;;26.01.2025;;;;77;22;2,0;1,5
RS00005421;276;GlückAuf;26.01.2025;;;;105;4;5,0;0,0
RS00005422;189;;26.01.2025;;;;32;47;5,0;1,5
RS00005423;196;;26.01.2025;3049 6828 4160 93;07/26;VISA;102;30;4,0;0,0
RS00005424;;;26.01.2025;3475 8947 6247 832;02/27;VISA;12;35;4,0;2,5
RS00005425;;;26.01.2025;;;;126;31;4,0;3,0
RS00005426;;;26.01.2025;3839 4246 1993 12;12/33;JCB;6;1;7,0;3,0
RS00005427;;;26.01.2025;;;;20;40;8,0;1,0
RS00005428;;;26.01.2025;;;;101;14;2,0;1,5
RS00005429;189;;26.01.2025;6304 1941 8219 ;11/34;JCB;24;18;3,0;3,0
RS00005430;267;;26.01.2025;;;;83;43;0,8;1,5
RS00005431;;;26.01.2025;4477 2955 7424 2717 ;06/27;VISA;40;18;1,0;2,5
RS00005432;342;;26.01.2025;;;;5;28;5,0;0,5
RS00005433;;;26.01.2025;;;;22;8;2,0;2,0
RS00005434;;;26.01.2025;3546 6825 5016 3422 ;12/33;Discover;103;2;5,0;2,0
RS00005435;160;;26.01.2025;5018 1380 9818 ;09/33;VISA;28;9;2,0;2,5
RS00005436;4;;26.01.2025;;;;83;43;0,8;1,5
RS00005437;;;26.01.2025;3540 6718 7268 0532 ;11/33;JCB;122;16;2,0;1,0
RS00005438;217;;26.01.2025;;;;19;17;2,0;1,0
RS00005439;158;;26.01.2025;;;;22;29;2,0;1,5
RS00005440;;;26.01.2025;3528 6039 4595 1539 ;03/34;VISA;93;4;2,3;1,0
RS00005441;;;26.01.2025;;;;72;34;2,0;0,0
RS00005442;;;26.01.2025;3504 4617 0065 2489 ;08/25;VISA;42;13;2,4;1,5
RS00005443;;;26.01.2025;;;;110;11;0,5;0,0
RS00005444;;;26.01.2025;;;;85;20;1,0;3,0
RS00005445;;;26.01.2025;;;;89;44;0,8;2,5
RS00005446;;;26.01.2025;;;;38;5;0,5;0,5
RS00005447;;;26.01.2025;;;;20;17;8,0;2,0
RS00005448;141;;26.01.2025;;;;51;6;2,0;1,5
RS00005449;;;26.01.2025;;;;42;42;2,4;2,0
RS00005450;;;26.01.2025;;;;72;48;2,0;2,5
RS00005451;;;26.01.2025;;;;88;34;0,5;2,0
RS00005452;312;GlückAuf;26.01.2025;3555 2392 3094 5765 ;08/30;Maestro;30;2;4,0;0,5
RS00005453;;;26.01.2025;;;;118;22;6,0;0,0
RS00005454;;;26.01.2025;5038 2210 0957 ;06/34;Discover;15;3;4,5;1,0
RS00005455;373;WochenendGLück;26.01.2025;;;;105;38;5,0;0,5
RS00005456;;;26.01.2025;;;;83;4;0,8;1,5
RS00005457;;;26.01.2025;;;;1;17;2,0;1,5
RS00005458;;;26.01.2025;;;;61;16;8,0;1,5
RS00005459;78;;26.01.2025;;;;85;9;1,0;3,0
RS00005460;;;26.01.2025;;;;108;49;8,0;0,0
RS00005461;140;Druff1848;26.01.2025;3047 3008 9068 96;01/33;VISA;51;26;2,0;1,5
RS00005462;;;26.01.2025;;;;117;32;3,5;1,5
RS00005463;376;;26.01.2025;;;;47;6;9,0;2,5
RS00005464;;;26.01.2025;4271 4680 9536 2;01/26;JCB;77;13;2,0;0,0
RS00005465;;;26.01.2025;;;;32;37;5,0;3,0
RS00005466;;;26.01.2025;3012 7074 9760 56;07/30;VISA;77;24;2,0;2,0
RS00005467;355;GlückAuf;26.01.2025;;;;29;34;1,5;3,0
RS00005468;;;26.01.2025;;;;118;7;6,0;0,5
RS00005469;;;26.01.2025;;;;113;2;4,5;2,0
RS00005470;59;;26.01.2025;;;;8;16;8,0;1,5
RS00005471;72;;26.01.2025;4109 7910 9485 0902 ;11/33;JCB;90;39;1,0;0,5
RS00005472;;;26.01.2025;3577 7548 2510 2840 ;10/25;Maestro;116;43;3,0;0,0
RS00005473;184;;26.01.2025;;;;64;42;4,5;2,5
RS00005474;;;26.01.2025;3758 4144 5432 291;10/26;VISA;39;19;0,8;0,5
RS00005475;;;26.01.2025;4038 9911 2339 0302 ;10/26;Mastercard;45;26;2,0;3,0
RS00005476;;;26.01.2025;4050 8610 4314 9083 ;12/25;VISA;35;11;1,0;1,0
RS00005477;133;GlückAuf;26.01.2025;2248 9577 5593 7181 ;07/26;VISA;104;40;5,0;2,5
RS00005478;;;26.01.2025;4821 9821 3496 0036 ;08/33;Diners;52;20;4,0;3,0
RS00005479;295;;26.01.2025;;;;78;12;2,0;2,0
RS00005480;;;26.01.2025;3518 4456 3730 4524 ;12/30;VISA;11;30;8,0;2,0
RS00005481;18;Morgenstern;26.01.2025;;;;79;12;1,5;1,0
RS00005482;209;;26.01.2025;3754 7604 7865 604;09/28;JCB;99;22;3,8;0,0
RS00005483;191;;26.01.2025;6550 6800 4521 8815 ;05/31;JCB;5;1;5,0;0,0
RS00005484;;;26.01.2025;;;;53;34;5,0;1,5
RS00005485;364;;26.01.2025;4149 6273 3581 9660 071;11/26;American;73;16;3,0;2,0
RS00005486;280;;26.01.2025;6011 5531 9370 3750 ;03/33;Mastercard;118;35;6,0;3,0
RS00005487;;;26.01.2025;;;;48;7;4,5;2,5
RS00005488;;;26.01.2025;;;;72;45;2,0;2,5
RS00005489;121;;26.01.2025;;;;70;6;8,0;2,5
RS00005490;;;26.01.2025;1800 1619 8408 419;09/31;JCB;38;8;0,5;2,0
RS00005491;;;26.01.2025;;;;78;40;2,0;0,0
RS00005492;;;26.01.2025;;;;59;36;3,0;0,0
RS00005493;;;26.01.2025;3504 0783 6616 5604 ;07/27;JCB;17;49;3,5;3,0
RS00005494;;;26.01.2025;;;;8;22;8,0;1,0
RS00005495;;;26.01.2025;3011 7093 7268 63;09/29;VISA;49;11;3,8;3,0
RS00005496;;;26.01.2025;4752 9973 6009 9385 ;01/29;Diners;87;10;0,5;2,0
RS00005497;401;;26.01.2025;;;;122;33;2,0;0,5
RS00005498;18;Morgenstern;26.01.2025;3707 8198 5193 637;02/28;VISA;4;31;5,0;3,0
RS00005499;;;26.01.2025;2264 6247 1461 8349 ;01/26;VISA;28;21;2,0;0,5
RS00005500;156;;26.01.2025;6761 4311 1588 ;10/33;Discover;22;5;2,0;2,5
RS00005501;;;26.01.2025;;;;28;44;2,0;2,0
